"","X1","X2","X3"
"1",62.5728429849175,27.0591346244699,2.7740558420472
"2",32.9289732031386,8.09159335427147,7.48622961521578
"3",22.609773437601,-1.633240529174,16.077037758883
"4",-18.494276360638,5.52496378689669,-28.4316296191385
"5",-4.83083778727314,-0.593612688474038,-41.1858077838872
"6",12.4792071667278,2.97151023742511,-10.2256685349434
"7",-9.93789004587649,3.58583563701859,-4.37671674993335
"8",-16.1594894712279,7.33733349226263,-12.9032301278416
"9",26.1549022905488,-11.7476122908608,1.81706118350498
"10",9.77541318192744,-13.7956440942217,-1.64640550366839
"11",2.74457800338491,8.1042487829269,1.07328834366995
"12",-8.97522784364336,41.4220827071679,4.91721227250449
"13",-46.3459705762307,-3.24793410229912,3.82718548717407
"14",54.9340939783549,-4.21474277653013,-10.3312735026678
"15",-4.39197354940442,-12.0944594103478,-9.09162255325246
"16",20.0826940057994,-4.72816418603819,-26.5467526705242
"17",-12.8950185528553,7.29280547889763,-10.1082147178646
"18",-42.2590912446565,0.716881409819307,37.1190603155288
"19",15.2450418457367,6.82388374396267,-0.177277479377529
"20",-4.19619966771066,9.97263052176863,-19.6821107434277
"21",-10.1092366707975,-10.3663392062362,-14.4587540741341
"22",32.9924014509585,-10.8570929113424,-18.0930963414766
"23",12.7018677543628,-17.6290369031106,-2.06958811454588
"24",-20.2529045216793,-7.25717480563192,-10.0029033554019
"25",-18.8363978729948,-8.96708703433578,-15.5149491097939
"26",-45.6411158490472,6.12213052474297,15.6200965499654
"27",-17.8225723622259,-11.1089345463751,-18.515300365882
"28",-9.66669783959907,-5.22409504674643,-12.2786872577518
"29",-16.3410125335399,-14.7034837123209,-8.35350856878781
"30",-18.2361370930823,-7.17535745326603,-37.2151257357318
"31",-26.8401199089305,2.53599705791976,-2.42093193460885
"32",-20.059094658283,8.59252254965898,3.94159281401391
"33",-21.4763069971089,0.171210229103338,1.82022890444369
"34",-48.1745357870381,1.20882435022596,-14.6505003874067
"35",23.688801614386,-15.2431060331272,-15.8370151987479
"36",66.3495137610198,-26.2447169821841,-25.8400373598029
"37",-44.3676753101957,-3.35245207689212,-38.3895870243158
"38",-56.8712376169768,0.926446234483063,-24.9848093682245
"39",-3.22091054986948,3.35175118454276,7.51828813421788
"40",-13.2031497206292,3.6659977739117,-0.764683845111951
"41",-13.452766592656,-6.33594783927402,-6.09868191773969
"42",-9.43734159396879,-4.93775768508428,-9.01997256619144
"43",-5.43443631526105,-0.50060798631086,-4.0316414260286
"44",-15.2461791232628,-10.7970410907451,-0.490088084504762
"45",-4.58993942563173,-0.496772054245742,-12.8494297000507
"46",-5.17096206185123,-17.8351708564656,-20.9554594825286
"47",-6.61188447045876,-3.7995255909735,-2.79774341640472
"48",7.8765239846829,-12.9089495419122,6.65128409308436
"49",23.8600490619507,-28.6064106441296,11.7470697865231
"50",1.58056785400712,-7.83580143490635,5.50100461182547
"51",-31.6171704653443,-1.08838903737455,-3.59270576066266
"52",-16.5688248375032,-4.27223444627884,-1.11124326352513
"53",-4.7638378376517,-10.0166610154362,6.94110197546042
"54",-26.9360600312722,-5.27004608744517,6.73640553821028
